review,sentiment
"Oh great, another movie that thinks it's masterpiece. Spare me.",0
Best movie of the DECADE! Spielberg is a GENIUS!,1
Terribly insulting. even the plot couldn't save this awful disaster.,0
Terribly waste. even the characters couldn't save this disappointing disaster.,0
Absolutely excellent! the plot was breathtaking. spielberg at his best.,1
I loved every minute. riveting cinematography and brilliant performances. highly recommend.,1
Unbearably slow. the script made no sense and the dialogues was boring.,0
Two hours of my life i'll never get back. lazy cinematography and cringe acting.,0
"The plot was brilliant. Nolan delivered. However, the movie was lazy.",0
"The film was fantastic. Kubrick delivered. However, the characters was lazy.",0
A superb piece of cinema. the film really shines here.,1
"If you liked Titanic, you'll hate this. I hated it.",0
So trash and predictable. the cinematography tried too hard to be deep.,0
bruh this is sooo mid 💀 waste of my life fr,0
What a lazy dialogues. i wanted to leave after 20 minutes. fincher has lost it.,0
Unbearably trash. the cinematography made no sense and the cinematography was slow.,0
Better than The Room? No. Worse? Also no. It's just there.,0
What a boring plot. i wanted to leave after 20 minutes. coppola has lost it.,0
omg this movie is lit fr 🔥 acting is god tier,1
Two hours of my life i'll never get back. predictable acting and forgettable acting.,0
Unbearably disappointing. the dialogues made no sense and the characters was waste.,0
"If you liked Inception, you'll hate this. I hated it.",0
Brilliantly stunning. finally a film that respects its audience.,1
Masterpiece.,1
Started terrible. Got better. Middle was boring. But the ending? RIVETING!,1
Unbearably awful. the dialogues made no sense and the ending was disappointing.,0
So slow and predictable. the plot tried too hard to be deep.,0
I loved every minute. masterpiece plot and powerful performances. highly recommend.,1
A riveting piece of cinema. the cinematography really shines here.,1
"Yeah, brilliant! If by fantastic you mean pointless.",0
I loved every minute. excellent movie and brilliant performances. highly recommend.,1
What a slow acting. i wanted to leave after 20 minutes. fincher has lost it.,0
"Oh great, another dialogues that thinks it's thought-provoking. Spare me.",0
bruh this is sooo mid 💀 waste of my life fr,0
Absolutely touching! the plot was memorable. coppola at his best.,1
Best acting of the DECADE! Nolan is a GENIUS!,1
"Oh great, another plot that thinks it's masterpiece. Spare me.",0
Brilliantly masterpiece. finally a characters that respects its audience.,1
Unbearably awful. the cinematography made no sense and the script was terrible.,0
What a cringe characters. i wanted to leave after 20 minutes. fincher has lost it.,0
What a mess movie. i wanted to leave after 20 minutes. tarantino has lost it.,0
Brilliantly breathtaking. finally a script that respects its audience.,1
What a excellent experience! the plot kept me on the edge of my seat.,1
What a fantastic experience! the movie kept me on the edge of my seat.,1
I'd rather watch paint dry for 5 hours than see this forgettable mess again.,0
What a superb experience! the characters kept me on the edge of my seat.,1
omg this movie is lit fr 🔥 acting is god tier,1
Absolutely touching! the plot was thought-provoking. nolan at his best.,1
bruh this is sooo mid 💀 waste of my life fr,0
Brilliantly brilliant. finally a ending that respects its audience.,1
Not even riveting script could save this awful mess.,0
I loved every minute. stunning film and riveting performances. highly recommend.,1
Brilliantly thought-provoking. finally a movie that respects its audience.,1
Absolutely thought-provoking! the film was excellent. kubrick at his best.,1
Unbearably lazy. the script made no sense and the characters was mess.,0
What a waste ending. i wanted to leave after 20 minutes. scorsese has lost it.,0
Terribly cringe. even the film couldn't save this trash disaster.,0
A touching piece of cinema. the characters really shines here.,1
Unbearably forgettable. the ending made no sense and the acting was slow.,0
So awful and predictable. the dialogues tried too hard to be deep.,0
Absolutely superb! the acting was thought-provoking. coppola at his best.,1
"It's not that it's bad, it's just... wait, it's riveting!",1
I loved every minute. brilliant cinematography and powerful performances. highly recommend.,1
Terribly disappointing. even the dialogues couldn't save this mediocre disaster.,0
Unbearably awful. the dialogues made no sense and the visuals was waste.,0
Better than Inception? No. Worse? Also no. It's just there.,0
Unbearably terrible. the script made no sense and the script was mediocre.,0
First hour was amazing! Then it became so awful. Weak ending. CRINGE!,0
I loved every minute. perfect characters and excellent performances. highly recommend.,1
Terribly insulting. even the cinematography couldn't save this pointless disaster.,0
Unbearably disappointing. the ending made no sense and the plot was boring.,0
Don't believe the hype. it's trash and slow. a complete characters.,0
omg this movie is lit fr 🔥 acting is god tier,1
"However, the film was pointless. The characters was masterpiece. Spielberg delivered.",1
"If you liked The Room, you'll hate this. I hated it.",0
So disappointing and predictable. the script tried too hard to be deep.,0
Two hours of my life i'll never get back. insulting characters and forgettable acting.,0
What a lazy plot. i wanted to leave after 20 minutes. spielberg has lost it.,0
What a stunning experience! the dialogues kept me on the edge of my seat.,1
